sport,playerName,aliases,careerStage,roleTier,positionGroup,lastUpdated
MLB,Babe Ruth,Ruth,RETIRED_HOF,RETIRED_ICON,HITTER,2025-12-21
MLB,Mickey Mantle,Mantle,RETIRED_HOF,RETIRED_ICON,HITTER,2025-12-21
MLB,Hank Aaron,Aaron,RETIRED_HOF,RETIRED_ICON,HITTER,2025-12-21
MLB,Willie Mays,Mays,RETIRED_HOF,RETIRED_ICON,HITTER,2025-12-21
MLB,Roberto Clemente,Clemente,RETIRED_HOF,RETIRED_ICON,HITTER,2025-12-21
MLB,Ted Williams,Williams,RETIRED_HOF,RETIRED_ICON,HITTER,2025-12-21
MLB,Ty Cobb,Cobb,RETIRED_HOF,RETIRED_ICON,HITTER,2025-12-21
MLB,Jackie Robinson,Robinson,RETIRED_HOF,RETIRED_ICON,HITTER,2025-12-21
MLB,Lou Gehrig,Gehrig,RETIRED_HOF,RETIRED_ICON,HITTER,2025-12-21
MLB,Stan Musial,Musial,RETIRED_HOF,RETIRED_ICON,HITTER,2025-12-21
MLB,Ken Griffey Jr.,Jr,RETIRED_HOF,RETIRED_ICON,HITTER,2025-12-21
MLB,Nolan Ryan,Ryan,RETIRED_HOF,RETIRED_ICON,PITCHER,2025-12-21
MLB,Sandy Koufax,Koufax,RETIRED_HOF,RETIRED_ICON,PITCHER,2025-12-21
MLB,Cal Ripken Jr.,Jr,RETIRED_HOF,RETIRED_ICON,HITTER,2025-12-21
MLB,Derek Jeter,Jeter,RETIRED_HOF,RETIRED_ICON,HITTER,2025-12-21
MLB,Barry Bonds,Bonds,RETIRED_HOF,RETIRED_ICON,HITTER,2025-12-21
MLB,Albert Pujols,Pujols,RETIRED_HOF,RETIRED_ICON,HITTER,2025-12-21
MLB,Ichiro Suzuki,Suzuki,RETIRED_HOF,RETIRED_ICON,HITTER,2025-12-21
MLB,Mariano Rivera,Rivera,RETIRED_HOF,RETIRED_ICON,PITCHER,2025-12-21
MLB,Mike Piazza,Piazza,RETIRED_HOF,RETIRED_ICON,HITTER,2025-12-21
MLB,Shohei Ohtani,Ohtani,PRIME,FRANCHISE_CORE,HITTER,2025-12-21
MLB,Aaron Judge,Judge,PRIME,FRANCHISE_CORE,HITTER,2025-12-21
MLB,Mookie Betts,Betts,PRIME,FRANCHISE_CORE,HITTER,2025-12-21
MLB,Mike Trout,Trout,PRIME,FRANCHISE_CORE,HITTER,2025-12-21
MLB,Ronald Acuña Jr.,Jr,PRIME,FRANCHISE_CORE,HITTER,2025-12-21
MLB,Juan Soto,Soto,PRIME,FRANCHISE_CORE,HITTER,2025-12-21
MLB,Bryce Harper,Harper,PRIME,FRANCHISE_CORE,HITTER,2025-12-21
MLB,Fernando Tatis Jr.,Jr,PRIME,FRANCHISE_CORE,HITTER,2025-12-21
MLB,Vladimir Guerrero Jr.,Jr,PRIME,FRANCHISE_CORE,HITTER,2025-12-21
MLB,Julio Rodríguez,Rodrguez,PRIME,FRANCHISE_CORE,HITTER,2025-12-21
MLB,Freddie Freeman,Freeman,PRIME,FRANCHISE_CORE,HITTER,2025-12-21
MLB,Francisco Lindor,Lindor,PRIME,FRANCHISE_CORE,HITTER,2025-12-21
MLB,José Ramírez,Ramrez,PRIME,FRANCHISE_CORE,HITTER,2025-12-21
