sport,playerName,aliases,careerStage,roleTier,positionGroup,lastUpdated
MLB,Shohei Ohtani,,PRIME,FRANCHISE_CORE,HITTER,2025-12-22
MLB,Aaron Judge,,PRIME,FRANCHISE_CORE,HITTER,2025-12-22
MLB,Mookie Betts,,PRIME,FRANCHISE_CORE,HITTER,2025-12-22
MLB,Mike Trout,,PRIME,FRANCHISE_CORE,HITTER,2025-12-22
MLB,Ronald Acuna Jr.,,PRIME,FRANCHISE_CORE,HITTER,2025-12-22
MLB,Juan Soto,,PRIME,FRANCHISE_CORE,HITTER,2025-12-22
MLB,Bryce Harper,,PRIME,FRANCHISE_CORE,HITTER,2025-12-22
MLB,Fernando Tatis Jr.,,PRIME,FRANCHISE_CORE,HITTER,2025-12-22
MLB,Vladimir Guerrero Jr.,,PRIME,FRANCHISE_CORE,HITTER,2025-12-22
MLB,Julio Rodriguez,,PRIME,FRANCHISE_CORE,HITTER,2025-12-22
MLB,Freddie Freeman,,PRIME,FRANCHISE_CORE,HITTER,2025-12-22
MLB,Francisco Lindor,,PRIME,FRANCHISE_CORE,HITTER,2025-12-22
MLB,Jose Ramirez,,PRIME,FRANCHISE_CORE,HITTER,2025-12-22
MLB,Manny Machado,,PRIME,FRANCHISE_CORE,HITTER,2025-12-22
MLB,Rafael Devers,,PRIME,FRANCHISE_CORE,HITTER,2025-12-22
MLB,Corey Seager,,PRIME,FRANCHISE_CORE,HITTER,2025-12-22
MLB,Yordan Alvarez,,PRIME,FRANCHISE_CORE,HITTER,2025-12-22
MLB,Paul Goldschmidt,,PRIME,FRANCHISE_CORE,HITTER,2025-12-22
MLB,Nolan Arenado,,PRIME,FRANCHISE_CORE,HITTER,2025-12-22
MLB,Adley Rutschman,,PRIME,FRANCHISE_CORE,HITTER,2025-12-22
MLB,Bo Bichette,,PRIME,SOLID_STARTER,HITTER,2025-12-22
MLB,Marcus Semien,,PRIME,SOLID_STARTER,HITTER,2025-12-22
MLB,Austin Riley,,PRIME,SOLID_STARTER,HITTER,2025-12-22
MLB,Corbin Carroll,,PRIME,SOLID_STARTER,HITTER,2025-12-22
MLB,Trea Turner,,PRIME,SOLID_STARTER,HITTER,2025-12-22
MLB,Pete Alonso,,PRIME,SOLID_STARTER,HITTER,2025-12-22
MLB,Kyle Tucker,,PRIME,SOLID_STARTER,HITTER,2025-12-22
MLB,Luis Robert Jr.,,PRIME,SOLID_STARTER,HITTER,2025-12-22
MLB,Xander Bogaerts,,PRIME,SOLID_STARTER,HITTER,2025-12-22
MLB,Ozzie Albies,,PRIME,SOLID_STARTER,HITTER,2025-12-22
MLB,Matt Olson,,PRIME,SOLID_STARTER,HITTER,2025-12-22
