sport,playerName,aliases,careerStage,roleTier,positionGroup,lastUpdated
NFL,Patrick Mahomes,,PRIME,FRANCHISE_CORE,QB,2025-12-22
NFL,Josh Allen,,PRIME,FRANCHISE_CORE,QB,2025-12-22
NFL,Joe Burrow,,PRIME,FRANCHISE_CORE,QB,2025-12-22
NFL,Justin Herbert,,PRIME,FRANCHISE_CORE,QB,2025-12-22
NFL,Lamar Jackson,,PRIME,FRANCHISE_CORE,QB,2025-12-22
NFL,C.J. Stroud,,PRIME,FRANCHISE_CORE,QB,2025-12-22
NFL,Trevor Lawrence,,PRIME,FRANCHISE_CORE,QB,2025-12-22
NFL,Jalen Hurts,,PRIME,FRANCHISE_CORE,QB,2025-12-22
NFL,Brock Purdy,,PRIME,FRANCHISE_CORE,QB,2025-12-22
NFL,Dak Prescott,,PRIME,FRANCHISE_CORE,QB,2025-12-22
NFL,Tua Tagovailoa,,PRIME,FRANCHISE_CORE,QB,2025-12-22
NFL,Jordan Love,,PRIME,FRANCHISE_CORE,QB,2025-12-22
NFL,Justin Jefferson,,PRIME,FRANCHISE_CORE,WR,2025-12-22
NFL,Ja'Marr Chase,,PRIME,FRANCHISE_CORE,WR,2025-12-22
NFL,A.J. Brown,,PRIME,FRANCHISE_CORE,WR,2025-12-22
NFL,CeeDee Lamb,,PRIME,FRANCHISE_CORE,WR,2025-12-22
NFL,Tyreek Hill,,PRIME,FRANCHISE_CORE,WR,2025-12-22
NFL,Stefon Diggs,,PRIME,FRANCHISE_CORE,WR,2025-12-22
NFL,Puka Nacua,,PRIME,FRANCHISE_CORE,WR,2025-12-22
NFL,Cooper Kupp,,PRIME,FRANCHISE_CORE,WR,2025-12-22
NFL,Davante Adams,,PRIME,FRANCHISE_CORE,WR,2025-12-22
NFL,DK Metcalf,,PRIME,FRANCHISE_CORE,WR,2025-12-22
NFL,DeVonta Smith,,PRIME,FRANCHISE_CORE,WR,2025-12-22
NFL,Jaylen Waddle,,PRIME,FRANCHISE_CORE,WR,2025-12-22
