sport,playerName,aliases,careerStage,roleTier,positionGroup,lastUpdated
NHL,Connor McDavid,,PRIME,FRANCHISE_CORE,UNKNOWN,2025-12-22
NHL,Sidney Crosby,,PRIME,FRANCHISE_CORE,UNKNOWN,2025-12-22
NHL,Alex Ovechkin,,PRIME,FRANCHISE_CORE,UNKNOWN,2025-12-22
NHL,Nathan MacKinnon,,PRIME,FRANCHISE_CORE,UNKNOWN,2025-12-22
NHL,Auston Matthews,,PRIME,FRANCHISE_CORE,UNKNOWN,2025-12-22
NHL,Cale Makar,,PRIME,FRANCHISE_CORE,UNKNOWN,2025-12-22
NHL,Nikita Kucherov,,PRIME,FRANCHISE_CORE,UNKNOWN,2025-12-22
NHL,Leon Draisaitl,,PRIME,FRANCHISE_CORE,UNKNOWN,2025-12-22
NHL,David Pastrnak,,PRIME,FRANCHISE_CORE,UNKNOWN,2025-12-22
NHL,Artemi Panarin,,PRIME,FRANCHISE_CORE,UNKNOWN,2025-12-22
NHL,Mitch Marner,,PRIME,FRANCHISE_CORE,UNKNOWN,2025-12-22
NHL,Jack Eichel,,PRIME,FRANCHISE_CORE,UNKNOWN,2025-12-22
NHL,Quinn Hughes,,PRIME,FRANCHISE_CORE,UNKNOWN,2025-12-22
NHL,Elias Pettersson,,PRIME,FRANCHISE_CORE,UNKNOWN,2025-12-22
NHL,Kirill Kaprizov,,PRIME,FRANCHISE_CORE,UNKNOWN,2025-12-22
NHL,Matthew Tkachuk,,PRIME,FRANCHISE_CORE,UNKNOWN,2025-12-22
NHL,Brayden Point,,PRIME,FRANCHISE_CORE,UNKNOWN,2025-12-22
NHL,Victor Hedman,,PRIME,FRANCHISE_CORE,UNKNOWN,2025-12-22
NHL,Igor Shesterkin,,PRIME,FRANCHISE_CORE,UNKNOWN,2025-12-22
NHL,Andrei Vasilevskiy,,PRIME,FRANCHISE_CORE,UNKNOWN,2025-12-22
NHL,Connor Hellebuyck,,PRIME,SOLID_STARTER,UNKNOWN,2025-12-22
NHL,Ilya Sorokin,,PRIME,SOLID_STARTER,UNKNOWN,2025-12-22
NHL,Juuse Saros,,PRIME,SOLID_STARTER,UNKNOWN,2025-12-22
NHL,Thatcher Demko,,PRIME,SOLID_STARTER,UNKNOWN,2025-12-22
NHL,Jeremy Swayman,,PRIME,SOLID_STARTER,UNKNOWN,2025-12-22
NHL,Linus Ullmark,,PRIME,SOLID_STARTER,UNKNOWN,2025-12-22
NHL,Jake Oettinger,,PRIME,SOLID_STARTER,UNKNOWN,2025-12-22
NHL,Sergei Bobrovsky,,PRIME,SOLID_STARTER,UNKNOWN,2025-12-22
NHL,Aleksander Barkov,,PRIME,SOLID_STARTER,UNKNOWN,2025-12-22
NHL,Sebastian Aho,,PRIME,SOLID_STARTER,UNKNOWN,2025-12-22
NHL,Mikko Rantanen,,PRIME,SOLID_STARTER,UNKNOWN,2025-12-22
